Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST
hv,00027562,0,"Saturday, January 19, 2008 09:36:32 UTC",19.5243,-155.4072,1.7,1.80,00
mb,15246,1,"Saturday, January 19, 2008 09:16:10 UTC",46.7148,-112.3241,1.7,12.80,16
ak,00025068,1,"Saturday, January 19, 2008 09:01:32 UTC",63.5101,-149.3321,1.5,87.30,04
nc,51194903,1,"Saturday, January 19, 2008 08:47:14 UTC",39.9425,-123.3155,1.7,0.00,19
nc,51194902,1,"Saturday, January 19, 2008 08:18:08 UTC",38.8277,-122.8093,1.5,2.30,16
nc,51194901,1,"Saturday, January 19, 2008 08:16:56 UTC",38.8280,-122.8105,1.6,2.40,20
nc,51194900,1,"Saturday, January 19, 2008 07:39:37 UTC",36.6868,-121.3275,1.6,1.60,15
us,2008mjaq,Q,"Saturday, January 19, 2008 07:32:30 UTC",51.3746,98.0551,4.8,10.00,60
nc,51194899,1,"Saturday, January 19, 2008 07:21:28 UTC",38.8213,-122.8143,1.0,3.80,17
nc,51194898,1,"Saturday, January 19, 2008 07:16:37 UTC",40.4760,-121.5407,2.2,6.60,24
nc,51194896,1,"Saturday, January 19, 2008 06:51:39 UTC",38.8293,-122.8088,1.9,2.20,21
uw,01190634,1,"Saturday, January 19, 2008 06:34:09 UTC",46.1991,-122.1958,1.2,2.80, 9
ak,00025066,1,"Saturday, January 19, 2008 06:24:52 UTC",63.4923,-151.2344,1.8,0.00,12
pr,p0801901,1,"Saturday, January 19, 2008 05:57:32 UTC",18.5953,-63.9997,3.3,58.00,12
us,2008mjal,Q,"Saturday, January 19, 2008 05:55:04 UTC",20.9741,121.4061,4.2,10.00,13
ci,14343624,1,"Saturday, January 19, 2008 05:54:17 UTC",32.8376,-115.6411,1.3,13.20,21
ci,14343620,1,"Saturday, January 19, 2008 05:38:02 UTC",32.5258,-115.6395,1.8,1.20,16
ak,00025063,1,"Saturday, January 19, 2008 05:14:38 UTC",63.1419,-150.6558,1.5,30.70,11
ci,14343616,1,"Saturday, January 19, 2008 04:52:19 UTC",32.9266,-116.7845,1.5,3.90,17
ci,14343612,1,"Saturday, January 19, 2008 04:12:53 UTC",34.6213,-116.5778,1.5,8.80,28
ak,00025058,1,"Saturday, January 19, 2008 04:08:33 UTC",62.6333,-151.2496,2.3,79.40,18
nc,51194887,1,"Saturday, January 19, 2008 02:49:10 UTC",36.6828,-121.3098,1.5,3.00,13
ci,14343600,1,"Saturday, January 19, 2008 02:22:50 UTC",33.3478,-116.2205,1.4,9.70,66
ak,00025053,1,"Saturday, January 19, 2008 01:56:28 UTC",61.9694,-151.7607,2.1,99.90,22
ak,00025051,1,"Saturday, January 19, 2008 01:39:37 UTC",60.5475,-149.6988,1.6,30.30,05
hv,00027561,0,"Saturday, January 19, 2008 01:06:14 UTC",19.3258,-155.1955,1.7,4.70,00
us,2008mjac,7,"Saturday, January 19, 2008 00:50:28 UTC",0.9412,126.0807,4.8,10.00,24
ci,14343596,1,"Saturday, January 19, 2008 00:42:32 UTC",35.3441,-118.5736,2.1,10.80,23
ak,00025012,1,"Saturday, January 19, 2008 00:37:42 UTC",51.5912,-178.4612,3.0,37.30,07
nn,00230123,1,"Saturday, January 19, 2008 00:36:08 UTC",39.5650,-115.9800,2.1,0.00, 9
ak,00025011,1,"Saturday, January 19, 2008 00:17:21 UTC",64.9628,-147.3384,1.5,0.40,06
nc,51194882,1,"Saturday, January 19, 2008 00:11:38 UTC",39.4505,-123.1007,1.9,14.00,20
ak,00025010,1,"Saturday, January 19, 2008 00:11:25 UTC",60.7665,-150.7345,1.9,64.20,07
